INFO 2022-01-19 15:59:56,809 -> 127.0.0.1 - - [19/Jan/2022 15:59:56] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 16:00:09,755 -> 127.0.0.1 - - [19/Jan/2022 16:00:09] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 16:00:36,791 -> 127.0.0.1 - - [19/Jan/2022 16:00:36] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 16:00:45,443 -> 127.0.0.1 - - [19/Jan/2022 16:00:45] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 16:00:51,156 -> 127.0.0.1 - - [19/Jan/2022 16:00:51] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 16:01:07,328 -> 127.0.0.1 - - [19/Jan/2022 16:01:07] "GET /final HTTP/1.1" 200 -
INFO 2022-01-19 16:32:22,062 ->  * Restarting with stat
WARNING 2022-01-19 16:32:25,129 ->  * Debugger is active!
INFO 2022-01-19 16:32:25,142 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 16:32:25,351 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 16:32:26,024 -> 127.0.0.1 - - [19/Jan/2022 16:32:26] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 16:32:26,051 -> 127.0.0.1 - - [19/Jan/2022 16:32:26] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 16:32:26,146 -> 127.0.0.1 - - [19/Jan/2022 16:32:26] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 16:32:26,156 -> 127.0.0.1 - - [19/Jan/2022 16:32:26] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 16:32:32,483 -> 127.0.0.1 - - [19/Jan/2022 16:32:32] "[32mPOST / HTTP/1.1[0m" 302 -
INFO 2022-01-19 16:32:32,493 -> 127.0.0.1 - - [19/Jan/2022 16:32:32] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 16:33:56,618 -> 127.0.0.1 - - [19/Jan/2022 16:33:56] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 16:34:22,007 -> 127.0.0.1 - - [19/Jan/2022 16:34:22] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 16:34:34,174 -> 127.0.0.1 - - [19/Jan/2022 16:34:34] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 16:34:52,891 -> 127.0.0.1 - - [19/Jan/2022 16:34:52] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 16:35:07,634 -> 127.0.0.1 - - [19/Jan/2022 16:35:07] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 16:35:17,572 -> 127.0.0.1 - - [19/Jan/2022 16:35:17] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 19:27:06,949 -> 127.0.0.1 - - [19/Jan/2022 19:27:06] "GET /final?y=12345678 HTTP/1.1" 200 -
INFO 2022-01-19 19:27:32,804 ->  * Restarting with stat
WARNING 2022-01-19 19:27:35,871 ->  * Debugger is active!
INFO 2022-01-19 19:27:35,880 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 19:27:36,058 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 19:27:36,254 -> 127.0.0.1 - - [19/Jan/2022 19:27:36] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:27:37,588 -> 127.0.0.1 - - [19/Jan/2022 19:27:37] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:27:37,608 -> 127.0.0.1 - - [19/Jan/2022 19:27:37] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 19:27:37,737 -> 127.0.0.1 - - [19/Jan/2022 19:27:37] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:27:37,751 -> 127.0.0.1 - - [19/Jan/2022 19:27:37] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 19:27:37,885 -> 127.0.0.1 - - [19/Jan/2022 19:27:37] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:27:37,896 -> 127.0.0.1 - - [19/Jan/2022 19:27:37] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 19:27:42,667 -> 127.0.0.1 - - [19/Jan/2022 19:27:42] "[32mPOST / HTTP/1.1[0m" 302 -
INFO 2022-01-19 19:27:42,681 -> 127.0.0.1 - - [19/Jan/2022 19:27:42] "[35m[1mGET /final?y=12345678 HTTP/1.1[0m" 500 -
INFO 2022-01-19 19:27:42,699 -> 127.0.0.1 - - [19/Jan/2022 19:27:42] "GET /final?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
INFO 2022-01-19 19:27:42,700 -> 127.0.0.1 - - [19/Jan/2022 19:27:42] "GET /final?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
INFO 2022-01-19 19:27:42,742 -> 127.0.0.1 - - [19/Jan/2022 19:27:42] "GET /final?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
INFO 2022-01-19 19:27:42,750 -> 127.0.0.1 - - [19/Jan/2022 19:27:42] "GET /final?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
INFO 2022-01-19 19:27:42,774 -> 127.0.0.1 - - [19/Jan/2022 19:27:42] "GET /final?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
INFO 2022-01-19 19:28:12,532 ->  * Detected change in 'c:\\Users\\anime\\OneDrive\\Desktop\\Bankbot2-main\\app.py', reloading
INFO 2022-01-19 19:28:12,899 ->  * Restarting with stat
WARNING 2022-01-19 19:28:15,744 ->  * Debugger is active!
INFO 2022-01-19 19:28:15,756 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 19:28:15,947 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 19:28:16,731 -> 127.0.0.1 - - [19/Jan/2022 19:28:16] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:28:16,757 -> 127.0.0.1 - - [19/Jan/2022 19:28:16] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 19:28:17,349 -> 127.0.0.1 - - [19/Jan/2022 19:28:17] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:28:17,365 -> 127.0.0.1 - - [19/Jan/2022 19:28:17] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 19:28:20,339 -> 127.0.0.1 - - [19/Jan/2022 19:28:20] "[32mPOST / HTTP/1.1[0m" 302 -
INFO 2022-01-19 19:28:20,349 -> 127.0.0.1 - - [19/Jan/2022 19:28:20] "[35m[1mGET /final?y=12345678 HTTP/1.1[0m" 500 -
INFO 2022-01-19 19:28:20,381 -> 127.0.0.1 - - [19/Jan/2022 19:28:20] "GET /final?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
INFO 2022-01-19 19:28:20,382 -> 127.0.0.1 - - [19/Jan/2022 19:28:20] "GET /final?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
INFO 2022-01-19 19:28:20,407 -> 127.0.0.1 - - [19/Jan/2022 19:28:20] "GET /final?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
INFO 2022-01-19 19:28:20,414 -> 127.0.0.1 - - [19/Jan/2022 19:28:20] "GET /final?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
INFO 2022-01-19 19:28:29,003 ->  * Detected change in 'c:\\Users\\anime\\OneDrive\\Desktop\\Bankbot2-main\\app.py', reloading
INFO 2022-01-19 19:28:29,254 ->  * Restarting with stat
WARNING 2022-01-19 19:28:32,224 ->  * Debugger is active!
INFO 2022-01-19 19:28:32,234 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 19:28:32,407 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 19:28:33,468 -> 127.0.0.1 - - [19/Jan/2022 19:28:33] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:28:33,483 -> 127.0.0.1 - - [19/Jan/2022 19:28:33] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 19:28:41,245 -> 127.0.0.1 - - [19/Jan/2022 19:28:41] "[32mPOST / HTTP/1.1[0m" 302 -
INFO 2022-01-19 19:28:41,255 -> 127.0.0.1 - - [19/Jan/2022 19:28:41] "[35m[1mGET /final?y=12345678 HTTP/1.1[0m" 500 -
INFO 2022-01-19 19:28:41,280 -> 127.0.0.1 - - [19/Jan/2022 19:28:41] "GET /final?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
INFO 2022-01-19 19:28:41,281 -> 127.0.0.1 - - [19/Jan/2022 19:28:41] "GET /final?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
INFO 2022-01-19 19:28:41,288 -> 127.0.0.1 - - [19/Jan/2022 19:28:41] "GET /final?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
INFO 2022-01-19 19:28:41,298 -> 127.0.0.1 - - [19/Jan/2022 19:28:41] "GET /final?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
INFO 2022-01-19 19:29:17,295 ->  * Detected change in 'c:\\Users\\anime\\OneDrive\\Desktop\\Bankbot2-main\\app.py', reloading
INFO 2022-01-19 19:29:17,559 ->  * Restarting with stat
WARNING 2022-01-19 19:29:20,452 ->  * Debugger is active!
INFO 2022-01-19 19:29:20,460 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 19:29:20,635 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 19:30:01,901 ->  * Detected change in 'c:\\Users\\anime\\OneDrive\\Desktop\\Bankbot2-main\\app.py', reloading
INFO 2022-01-19 19:30:02,124 ->  * Restarting with stat
WARNING 2022-01-19 19:30:05,113 ->  * Debugger is active!
INFO 2022-01-19 19:30:05,123 ->  * Debugger PIN: 119-950-930
INFO 2022-01-19 19:30:05,301 ->  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2022-01-19 19:30:05,619 -> 127.0.0.1 - - [19/Jan/2022 19:30:05] "GET / HTTP/1.1" 200 -
INFO 2022-01-19 19:30:05,637 -> 127.0.0.1 - - [19/Jan/2022 19:30:05] "[36mGET /static/images/chatbox-icon.png HTTP/1.1[0m" 304 -
INFO 2022-01-19 19:30:09,171 -> 127.0.0.1 - - [19/Jan/2022 19:30:09] "[32mPOST / HTTP/1.1[0m" 302 -
INFO 2022-01-19 19:30:09,181 -> 127.0.0.1 - - [19/Jan/2022 19:30:09] "[35m[1mGET /final?y=12345678 HTTP/1.1[0m" 500 -
INFO 2022-01-19 19:30:09,212 -> 127.0.0.1 - - [19/Jan/2022 19:30:09] "GET /final?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
